"","Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"54","FDJ20","OUT017",2204.75404716278
"55","FDV44","OUT027",5115.74270277308
"56","FDG02","OUT049",2835.73163031748
"57","FDA09","OUT013",3137.14861681073
"58","FDT04","OUT013",653.80470912773
"59","FDL58","OUT019",616.664706559883
"60","FDE52","OUT045",1308.55744266782
"61","FDW12","OUT035",2599.88225921734
"62","FDL51","OUT017",3733.34068042835
"63","NCY42","OUT027",2963.17403817004
"64","FDR07","OUT017",1618.84891764365
"65","FDN40","OUT045",2231.20272034544
"66","FDB35","OUT027",2417.08490756252
"67","FDA22","OUT017",2734.81271283869
"68","NCL06","OUT046",3907.87078680703
"69","FDI35","OUT013",3296.87241781557
"70","NCW42","OUT045",3593.57906784806
"71","NCX06","OUT049",3256.1429499119
"72","FDC37","OUT027",2591.7816522193
"73","FDZ14","OUT018",1810.75540076543
"74","DRG49","OUT049",4965.64316355867
"75","NCG06","OUT045",3679.17940132139
"76","DRC36","OUT045",2978.43797432371
"77","FDV21","OUT019",384.199930823495
"78","FDB53","OUT046",2902.94051204604
"79","DRP47","OUT019",567.140158147093
"80","FDA14","OUT013",2162.23943728401
"81","DRC24","OUT035",2683.03543914116
"82","FDW21","OUT018",1544.73121384704
"83","NCH29","OUT046",2112.06926231959
"84","FDU58","OUT013",2978.78227942805
"85","FDY27","OUT017",2442.66264747992
"86","FDV56","OUT035",1877.26928422066
"87","FDT59","OUT046",4533.0998249033
"88","FDB23","OUT046",3406.92085877169
"89","FDR49","OUT045",802.09166628834
"90","FDB03","OUT010",645.398558976553
"91","FDN39","OUT045",2598.10692961254
"92","FDX02","OUT027",5432.99173213676
"93","FDQ16","OUT027",2706.88978726141
"94","FDU35","OUT018",1569.15576083976
"95","NCT29","OUT013",1853.73976881717
"96","FDZ27","OUT046",798.828428821419
"97","FDN57","OUT017",2430.00107285886
"98","FDA03","OUT018",2056.10740189028
"99","FDZ36","OUT045",3483.95617968325
"100","NCU05","OUT013",1324.80493564945
"101","FDT39","OUT018",2193.51889521701
"102","FDK60","OUT017",1648.55867596201
"103","FDZ25","OUT017",2958.2437940099
"104","FDG12","OUT046",2478.62209577237
"105","DRB01","OUT019",456.362624940663
"106","NCC43","OUT027",5296.7576533312
"107","FDX13","OUT019",620.738923300812
"108","FDM22","OUT049",879.998195732455
"109","FDJ03","OUT027",1722.4957638889
"110","FDU14","OUT018",3775.87119235484
"111","FDB33","OUT010",429.531435281254
"112","FDP27","OUT046",3377.49459381968
"113","FDO38","OUT010",193.862839082238
"114","FDE28","OUT027",5752.11082377095
"115","FDO27","OUT035",1656.19265322027
"116","DRL23","OUT027",2558.6268433967
"117","FDS28","OUT046",958.328935903083
"118","FDX24","OUT013",1258.64931405467
"119","FDZ02","OUT035",1389.75681768519
"120","FDL46","OUT045",1631.42282094243
"121","FDS60","OUT027",4838.11342413923
"122","NCO06","OUT017",664.74256208058
"123","FDO16","OUT035",1848.35543387087
"124","FDC60","OUT049",1538.87646092046
"125","FDA48","OUT018",3424.46952850627
"126","FDZ36","OUT027",5047.49622266855
"127","FDK27","OUT045",1869.10572561106
"128","FDW23","OUT018",719.003969660702
"129","FDM14","OUT018",1487.04834068365
"130","FDM14","OUT013",1645.57927982586
"131","FDW60","OUT018",2535.66722617337
"132","FDE21","OUT013",1879.02788071048
"133","NCM42","OUT035",1916.31501710478
"134","FDY59","OUT010",201.573699051614
"135","DRI49","OUT049",1422.40435329006
"136","FDT28","OUT019",286.425369313164
"137","FDQ22","OUT018",625.572376604517
"138","FDR60","OUT049",1122.86571971141
"139","FDC50","OUT019",329.100647914137
"140","FDV24","OUT013",2588.17676980098
"141","DRF48","OUT010",518.401263260741
"142","FDQ47","OUT046",904.221690462622
"143","DRN36","OUT049",1698.27692873867
"144","NCY06","OUT035",2144.11761839721
"145","FDE52","OUT035",1435.33180308024
"146","NCB54","OUT045",1846.03447946218
"147","NCF31","OUT035",2498.49172121458
"148","FDJ08","OUT027",5186.31983121198
"149","NCC07","OUT017",1790.38589447857
"150","NCD19","OUT027",1775.46979570549
"151","FDL46","OUT049",1734.06350013409
"152","FDM20","OUT045",3846.49803950379
"153","NCI06","OUT010",425.153665856546
"154","DRM11","OUT035",3826.12416721435
"155","NCH07","OUT018",2289.07346744291
"156","FDS23","OUT013",2018.06810484676
"157","FDO49","OUT018",780.911701073027
"158","FDS35","OUT049",1051.83117642598
"159","DRK39","OUT045",1319.87056704917
"160","DRI39","OUT049",889.616120266712
"161","FDV04","OUT017",1902.01389225468
"162","NCN14","OUT035",2801.52097336626
"163","FDH08","OUT013",3832.58332280761
"164","FDS20","OUT046",3118.70528666783
"165","FDV40","OUT049",1150.16274389616
"166","FDZ48","OUT010",225.813028160278
"167","FDS24","OUT027",2479.29036870292
"168","FDK44","OUT049",2382.38977750081
"169","FDS48","OUT045",2319.1061273206
"170","FDK26","OUT010",638.504280564613
"171","FDD23","OUT045",3668.54862254758
"172","NCH54","OUT017",2932.40596716041
"173","NCP14","OUT010",278.134605561229
"174","FDM60","OUT010",127.578551045534
"175","FDV24","OUT017",2276.45189540123
"176","FDH08","OUT018",3184.31042110609
"177","FDS12","OUT027",3140.18849167412
"178","FDR39","OUT027",5201.003197687
"179","FDP12","OUT027",1472.74269854972
"180","DRF60","OUT027",5330.42458393384
"181","FDC09","OUT035",1845.41925785614
"182","FDF50","OUT018",2980.33607971305
"183","FDG28","OUT035",3487.63820593316
"184","NCE19","OUT017",889.078059576141
"185","NCM53","OUT010",325.639814681345
"186","NCN18","OUT049",1458.80815190237
"187","FDF32","OUT035",3364.28852337327
"188","FDF11","OUT013",3501.61435428639
"189","DRI59","OUT049",3883.44004029577
"190","NCG54","OUT035",2983.55418082245
"191","FDM44","OUT046",1544.42601421863
"192","FDT57","OUT018",2542.11404750803
"193","FDV24","OUT046",2483.64765524278
"194","FDI50","OUT019",590.321091081554
"195","FDS09","OUT035",910.89118763944
"196","NCC31","OUT027",3825.70323687272
"197","FDQ07","OUT019",459.077037661259
"198","FDC22","OUT017",3054.85779918537
"199","FDZ56","OUT046",2691.42172764107
"200","FDZ40","OUT019",148.854684287108
"201","FDS46","OUT027",2809.35329594182
"202","DRD24","OUT045",1822.17061248806
"203","FDV45","OUT017",3295.51654568696
"204","FDL26","OUT045",2822.61819243429
"205","FDA56","OUT018",1668.29618328857
"206","FDN27","OUT046",1696.45948235733
"207","FDM20","OUT049",4209.40285843702
"208","FDO16","OUT017",1764.64123171789
"209","FDL03","OUT035",3180.5781873667
"210","FDE58","OUT046",2083.50377861217
"211","FDI02","OUT027",2937.4564283224
"212","NCC55","OUT019",115.372001196055
"213","FDR03","OUT018",3137.50592258179
"214","FDB14","OUT017",1561.18988639496
"215","FDR45","OUT013",3858.4068087303
"216","NCN07","OUT017",2050.70750268306
"217","FDM51","OUT019",265.188488689653
"218","FDT52","OUT027",6162.89837967438
"219","FDL26","OUT046",2554.60363414649
"220","NCZ42","OUT046",3369.52393717319
"221","DRI47","OUT019",420.968665287175
"222","FDW40","OUT013",2296.50264150083
"223","FDN34","OUT046",2690.84401300824
"224","FDS01","OUT035",3349.65735737643
"225","NCG55","OUT045",1979.05274579406
"226","FDC11","OUT035",1404.41679995062
"227","FDX35","OUT018",3029.85373442723
"228","NCB06","OUT046",2351.16554234204
"229","FDR09","OUT019",513.486513627511
"230","FDC53","OUT017",1788.33639325062
"231","FDY45","OUT013",3828.57524502844
"232","FDA22","OUT010",472.176020590348
"233","FDE02","OUT035",1715.07870444465
"234","FDW21","OUT045",1755.19174086344
"235","FDV34","OUT046",1331.25966070737
"236","FDS59","OUT049",2130.64997651296
"237","NCW17","OUT017",2352.05421353187
"238","NCK54","OUT046",1944.87652193175
"239","FDG17","OUT019",538.263433680899
"240","FDG35","OUT017",3272.2334681098
"241","FDD08","OUT010",141.054351963952
"242","NCO07","OUT017",3872.6875815602
"243","FDJ10","OUT010",295.199467790088
"244","FDW36","OUT017",1704.59644266798
"245","FDW21","OUT010",279.714997876859
"246","FDY19","OUT017",2107.67773133187
"247","DRE03","OUT013",711.98955395349
"248","NCC55","OUT049",774.169886552247
"249","FDH52","OUT010",162.531309036352
"250","FDO09","OUT017",4769.40707291854
"251","FDU43","OUT045",4291.30042653549
"252","FDX09","OUT010",472.240286505409
"253","FDH40","OUT019",225.959118494509
"254","FDW58","OUT017",1846.67412744448
"255","FDC47","OUT017",4379.0944877905
"256","NCR41","OUT035",1751.92423793187
"257","DRG49","OUT035",4525.64442732588
"258","FDC52","OUT027",4187.11447654502
"259","FDY13","OUT046",1290.34833412496
"260","FDY35","OUT013",907.456411426558
"261","FDI35","OUT017",4278.76581820081
"262","NCU18","OUT049",2327.29506682511
"263","FDY33","OUT018",2599.58789807984
"264","FDC15","OUT027",3944.94063427212
"265","FDU01","OUT049",3079.07847497194
"266","NCU42","OUT046",3055.0884403721
"267","NCV29","OUT018",2445.03858919202
"268","NCY30","OUT017",3168.75066579917
"269","FDQ46","OUT049",1756.05747531706
"270","FDG58","OUT027",4019.64115386338
"271","FDK33","OUT017",4094.53920515732
"272","NCD07","OUT045",1519.14243805738
"273","NCX29","OUT027",3355.92405286113
"274","NCT42","OUT013",2443.78363960678
"275","DRN59","OUT035",810.110203026013
"276","FDI44","OUT035",1419.42307920967
"277","FDA45","OUT049",2112.00694934031
"278","FDP31","OUT045",960.123277173842
"279","FDY01","OUT046",1905.79097843683
"280","FDT09","OUT018",1932.65622859509
"281","DRH03","OUT027",2415.65242703356
"282","FDA36","OUT018",2540.41075626518
"283","NCF31","OUT017",2448.51784285882
"284","FDG14","OUT049",2818.81805297708
"285","FDG28","OUT027",6046.16150182438
"286","FDU14","OUT049",3616.33522904603
"287","FDY47","OUT019",303.531273120817
"288","FDI56","OUT049",1493.16788305071
"289","DRD01","OUT013",877.065244942052
"290","FDM22","OUT046",1086.75028077838
"291","FDH33","OUT013",729.379441011904
"292","DRZ24","OUT013",2064.73924639006
"293","NCQ38","OUT046",1640.90576130465
"294","FDO16","OUT027",2186.59053245378
"295","FDU07","OUT027",3950.88247854448
"296","NCB07","OUT013",2696.21807868958
"297","FDU48","OUT045",1671.92041384134
"298","NCM43","OUT045",2557.88812295788
"299","FDR31","OUT010",335.201027317389
"300","DRK49","OUT018",500.969338941725
"301","NCI30","OUT010",639.025837473602
"302","DRD60","OUT017",3316.57280889448
"303","NCG19","OUT046",3085.31047331747
"304","FDH12","OUT035",1623.16839201435
"305","FDM32","OUT035",1635.09293812037
"306","FDM27","OUT035",2526.78987692306
"307","NCU53","OUT027",4314.55248910785
"308","NCQ18","OUT046",1764.71277647082
"309","FDS10","OUT013",3077.50187756608
"310","FDB33","OUT027",4442.14540699052
"311","FDI12","OUT013",1344.78567527118
"312","NCW42","OUT013",3997.13977226662
"313","NCC06","OUT018",1897.79151934571
"314","FDW02","OUT017",2305.6928438282
"315","NCD43","OUT017",1698.72988956827
"316","FDM57","OUT018",1091.33768792677
"317","FDA58","OUT017",3532.01803740353
"318","FDK56","OUT046",3123.96831234766
"319","FDP52","OUT045",4037.87727858735
"320","FDW20","OUT018",1761.91514062255
"321","FDS52","OUT049",1649.6945093523
"322","NCT29","OUT018",1639.82101202064
"323","NCL54","OUT013",2986.09753581767
"324","FDC05","OUT045",2666.41756018967
"325","FDF34","OUT035",2942.31461174968
"326","FDP03","OUT027",3221.76873394825
"327","FDD32","OUT010",182.25471825885
"328","FDZ10","OUT045",1874.77935325322
"329","FDZ40","OUT035",842.263409342128
"330","FDD51","OUT018",707.254902864927
"331","NCY30","OUT019",411.623938621363
"332","FDP58","OUT017",3693.92469831498
"333","FDV49","OUT017",4153.46387259511
"334","FDY24","OUT019",179.891979638413
"335","NCO55","OUT017",1554.52373921386
"336","FDR13","OUT017",2115.71789004183
"337","FDS51","OUT017",1070.83143040572
"338","FDP26","OUT045",1238.3951717178
"339","NCB54","OUT027",3581.59358821959
"340","FDF32","OUT017",3224.55368207297
"341","FDN31","OUT018",2755.5348779669
"342","DRM48","OUT017",823.056370541038
"343","FDN20","OUT049",2831.42787710844
"344","DRL01","OUT046",3838.20753658373
"345","FDV56","OUT049",1449.73290218466
"346","DRH13","OUT027",2614.43115839612
"347","FDA03","OUT017",2563.96122615709
"348","FDF47","OUT027",5175.19147508992
"349","FDX32","OUT046",2644.65568226366
"350","FDX57","OUT049",1885.10615578854
"351","NCA30","OUT045",3135.37298552856
"352","FDO49","OUT013",749.73196490467
"353","FDL04","OUT019",246.774003307398
"354","DRM48","OUT035",835.107473311208
"355","FDR16","OUT013",3411.2936594974
"356","NCC19","OUT018",2843.76655990108
"357","NCE42","OUT045",2925.63300682514
"358","FDY24","OUT017",1281.93331600274
"359","FDH19","OUT049",2486.58420730423
"360","FDJ46","OUT013",2772.20166806861
"361","FDN45","OUT010",561.612758677294
"362","FDY08","OUT035",2277.70562438941
"363","FDZ37","OUT035",1614.12778789731
"364","NCT30","OUT045",815.737195237395
"365","DRY23","OUT018",617.693327084621
"366","NCZ30","OUT018",1778.04673988865
"367","FDC44","OUT018",1540.2668043459
"368","FDB45","OUT035",1713.87514795109
"369","FDY04","OUT013",2424.76462726707
"370","FDM27","OUT046",2408.37618953215
"371","FDZ43","OUT017",4492.29010164591
"372","FDT39","OUT019",373.846156970812
"373","NCC06","OUT019",294.912439191277
"374","FDL15","OUT027",4018.18792515046
"375","FDL57","OUT017",4860.38763568469
"376","FDU08","OUT046",1480.76059570034
"377","FDK40","OUT017",4574.19419353722
"378","FDQ12","OUT010",460.849890309311
"379","FDS48","OUT017",2730.39665099693
"380","FDP09","OUT045",3556.41920465066
"381","FDW21","OUT049",1621.95356037456
"382","FDY25","OUT035",3565.11018106562
"383","DRE13","OUT017",1542.64428119162
"384","FDV43","OUT019",133.711281495365
"385","FDD22","OUT045",1766.43905106931
"386","FDM46","OUT019",295.073471546473
"387","NCO30","OUT010",477.392266019797
"388","FDM25","OUT046",2674.29063581384
"389","NCN41","OUT049",2046.11054817261
"390","FDU24","OUT045",1614.60605307654
"391","FDZ50","OUT046",3233.46619629969
"392","FDP45","OUT013",3788.64030593458
"393","NCM54","OUT045",1759.26519659806
"394","FDW10","OUT019",438.433895136443
"395","FDP20","OUT017",2043.14930228875
"396","FDK32","OUT046",2610.80138188168
"397","FDN52","OUT049",1224.38570609151
"398","FDM58","OUT045",1803.29640288097
"399","FDZ46","OUT027",3018.06040604801
"400","NCA18","OUT018",1671.45356310116
"401","FDD35","OUT046",2060.3040617325
"402","NCK31","OUT035",889.386767655784
"403","FDI40","OUT027",2649.65528135626
"404","FDT50","OUT019",224.09014800968
"405","NCT06","OUT046",2711.40582875432
"406","FDT31","OUT035",2884.86947726963
"407","FDT45","OUT049",868.252413501937
"408","FDT13","OUT045",3103.70390757976
"409","FDO50","OUT045",1481.87993278023
"410","NCU18","OUT010",315.808312317536
"411","NCR54","OUT049",3298.00238525997
"412","NCO18","OUT018",2483.02092520372
"413","FDU09","OUT045",821.760012322376
"414","FDT13","OUT018",2448.36753703269
"415","FDE09","OUT046",1798.37852144709
"416","NCK53","OUT019",270.093578249624
"417","FDG45","OUT049",4076.19590423892
"418","DRH15","OUT035",778.247823729411
"419","FDO21","OUT019",488.398437537665
"420","FDD14","OUT027",5074.76023561076
"421","FDC09","OUT046",1664.5865218951
"422","FDH45","OUT027",1536.63511939813
"423","FDV32","OUT046",1232.51201613542
"424","FDG12","OUT035",2208.74229288418
"425","FDS32","OUT013",2216.9115272374
"426","NCL55","OUT018",3662.18790774667
"427","DRE01","OUT035",4622.78956514061
"428","DRE15","OUT049",1256.72409894373
"429","NCL42","OUT045",4028.34108875468
"430","FDP31","OUT013",1095.081753732
"431","FDN33","OUT018",1318.02736720811
"432","FDZ59","OUT046",3138.52936328677
"433","FDE45","OUT010",379.931952413732
"434","FDJ07","OUT013",1603.54487533581
"435","FDQ45","OUT018",2639.10856972425
"436","FDM33","OUT027",5380.28462177819
"437","FDO15","OUT010",217.217501358279
"438","FDM46","OUT013",1667.0546984534
"439","FDR03","OUT045",3704.83170924438
"440","FDY49","OUT018",2122.76673475049
"441","FDQ60","OUT045",1987.14422977698
"442","FDW10","OUT049",2549.99864062221
"443","FDO51","OUT049",889.361882999505
"444","FDJ40","OUT018",1403.15215560125
"445","FDS20","OUT018",2738.02418655334
"446","FDU45","OUT013",2300.6061900761
"447","FDV02","OUT035",2727.56398281963
"448","FDN09","OUT046",3356.77438774211
"449","NCM55","OUT027",4442.32880969681
"450","FDN23","OUT018",2215.54821545895
"451","FDY31","OUT010",359.168725804534
"452","FDW03","OUT010",314.365569882156
"453","FDD14","OUT046",2873.74644466713
"454","FDV23","OUT017",1975.56157718724
"455","DRI03","OUT045",2998.78684194112
"456","FDN13","OUT035",1419.1737110264
"457","FDF45","OUT027",2118.15760972312
"458","FDU46","OUT035",1442.4037670887
"459","FDB57","OUT049",3287.81469610652
"460","FDV12","OUT049",1783.55244257983
"461","FDQ58","OUT013",2398.74752852445
"462","NCA18","OUT017",1844.5081668591
"463","FDH52","OUT049",948.500376159185
"464","FDM24","OUT018",2173.02597734859
"465","NCP43","OUT027",4344.56439252629
"466","NCO18","OUT019",378.623442977322
"467","FDM32","OUT017",1401.25225114603
"468","NCL07","OUT017",625.01970375842
"469","FDK03","OUT013",4482.49102264094
"470","FDP59","OUT017",1761.48565205203
"471","FDQ24","OUT049",3792.78000560954
"472","FDQ16","OUT018",1481.99095758886
"473","FDU44","OUT013",2357.33179226172
"474","FDH28","OUT010",149.764913817451
"475","FDV28","OUT019",126.584196821188
"476","FDM22","OUT045",900.348147116844
"477","FDR56","OUT046",2529.32007393131
"478","FDV39","OUT049",2857.65325185401
"479","FDU37","OUT019",283.027153603995
"480","FDQ11","OUT010",711.317280956308
"481","FDX02","OUT045",3460.58642146083
"482","NCS42","OUT018",1483.5148150309
"483","FDY57","OUT027",2604.02178537084
"484","FDB21","OUT049",3656.59916702495
"485","FDE28","OUT017",3466.03271656881
"486","FDQ55","OUT017",2451.06391635847
"487","FDA48","OUT049",3651.16995967561
"488","FDZ19","OUT045",2238.48995321123
"489","NCC43","OUT045",3498.67327370629
"490","NCV18","OUT046",1582.43999487052
"491","NCA42","OUT018",2752.87723005388
"492","FDY45","OUT046",3518.49436340869
"493","NCC30","OUT045",3003.090864374
"494","FDM57","OUT013",1538.88987045374
"495","FDL09","OUT010",405.939730864662
"496","FDB09","OUT027",3398.38469153588
"497","FDT44","OUT035",1854.15676193991
"498","NCT06","OUT027",4269.35029319845
"499","FDX26","OUT049",3405.8520664918
"500","FDK32","OUT013",2540.83663674478
"501","DRA12","OUT046",2010.08267819114
"502","FDO46","OUT010",574.573409181152
"503","FDE52","OUT013",1352.77184827875
"504","NCH42","OUT045",3778.02163802843
"505","FDV08","OUT035",699.792185501385
"506","FDB47","OUT018",2523.97965255088
"507","FDC28","OUT010",220.597420571503
"508","FDD22","OUT046",1794.89470963134
"509","FDS07","OUT027",3296.66429031236
"510","DRI13","OUT045",4035.46470415569
"511","FDG32","OUT018",3442.48815241106
"512","FDU14","OUT017",3711.9032223877
"513","FDD28","OUT019",160.531240789996
"514","NCP41","OUT017",1681.7144718814
"515","FDS08","OUT049",2545.97935420664
"516","FDX47","OUT045",2344.35925052759
"517","FDC53","OUT019",209.9697387986
"518","FDQ19","OUT035",3755.92205275922
"519","FDL14","OUT045",2443.70426601557
"520","FDM33","OUT019",587.146850509571
"521","FDA51","OUT045",1974.04920182888
"522","FDZ27","OUT018",759.079174946257
"523","FDT04","OUT046",650.792832370512
"524","DRC13","OUT049",1963.91779533962
"525","FDR16","OUT027",4924.63257718838
"526","FDQ03","OUT027",5697.08764220852
"527","FDE38","OUT035",2957.62764363973
"528","DRH23","OUT027",2013.4063506223
"529","FDT11","OUT019",616.936872463147
"530","FDD09","OUT035",2778.41297596914
"531","FDR40","OUT045",1324.61131126763
"532","FDX07","OUT017",2983.96229704334
"533","FDR07","OUT035",2027.66653338893
"534","FDA51","OUT017",2043.26415664181
"535","FDT59","OUT019",622.384684776614
"536","FDF20","OUT017",3042.19051637299
"537","FDR13","OUT045",1829.37786469717
"538","FDY26","OUT049",3901.12939053258
"539","FDW04","OUT017",1818.41466228629
"540","FDK52","OUT017",3930.81320890036
"541","FDN60","OUT049",2817.9420244626
"542","FDM09","OUT019",406.047731528639
"543","FDP46","OUT049",1590.46066336379
"544","FDB50","OUT019",290.892791244265
"545","NCQ29","OUT049",3511.01413738813
"546","FDP16","OUT027",5917.50588127677
"547","FDX33","OUT018",2553.03500778571
"548","FDP07","OUT010",443.483567503928
"549","FDN22","OUT046",3649.2880311926
"550","FDF39","OUT049",4075.40284461047
"551","FDS21","OUT017",986.753620541687
"552","NCM42","OUT013",1673.38498966362
"553","FDK50","OUT019",468.917915599479
"554","DRF13","OUT027",3648.16107109301
"555","FDH35","OUT018",2182.6116298348
"556","FDP60","OUT018",1467.70556556138
"557","DRJ49","OUT027",2852.2590792443
"558","NCT42","OUT019",375.99877315585
"559","FDE38","OUT049",2485.76499600219
"560","FDI04","OUT049",3501.69467801561
"561","NCH54","OUT045",3021.85138011309
"562","FDT56","OUT049",833.415620237724
"563","DRD15","OUT018",3198.15665880135
"564","FDV58","OUT013",2453.73625975107
"565","FDP21","OUT049",3416.54862132618
"566","FDH05","OUT013",3295.48415846885
"567","FDR10","OUT027",4308.95341357725
"568","NCP06","OUT045",2175.22691579489
"569","FDF33","OUT049",1963.22704598509
"570","DRK37","OUT013",3205.3501336343
"571","DRH49","OUT045",1297.06897794737
"572","FDT58","OUT013",2585.28058600012
"573","FDD41","OUT018",1485.70710558229
"574","FDP40","OUT018",1901.99237701887
"575","FDM51","OUT027",2709.55531030843
"576","FDO45","OUT010",204.530329913312
"577","FDW33","OUT010",298.661730623603
"578","FDY24","OUT045",1037.02405131338
"579","FDB10","OUT010",583.510240300327
"580","FDM40","OUT035",2240.01439723787
"581","NCI06","OUT017",3623.23394979307
"582","FDW12","OUT019",315.4404580678
"583","FDX48","OUT027",4050.62140688171
"584","NCW05","OUT027",2914.17176217891
"585","FDX27","OUT017",1508.38244330912
"586","DRM37","OUT045",3899.75434358592
"587","FDA38","OUT045",3805.95413985244
"588","FDR36","OUT046",814.601066179033
"589","FDZ45","OUT046",3189.99563880848
"590","FDG05","OUT017",2440.0890750235
"591","FDK28","OUT013",4774.16547369153
"592","FDV47","OUT045",1452.53032489549
"593","FDN21","OUT045",2422.26614769987
"594","FDP20","OUT027",3403.35088466459
"595","FDI35","OUT045",3855.62223044025
"596","DRY23","OUT013",765.555938296725
"597","FDA56","OUT017",2115.6732003588
"598","FDB09","OUT013",1972.24658719152
"599","NCO26","OUT027",2706.63944631991
"600","FDQ49","OUT018",2534.21758949947
"601","FDI52","OUT027",2911.77544110831
"602","FDZ44","OUT027",3338.18487544998
"603","FDZ09","OUT018",2610.61705317662
"604","FDY03","OUT049",2055.20124413913
"605","NCG42","OUT017",2164.99100435753
"606","DRI13","OUT027",6072.45587890272
"607","FDQ32","OUT013",2137.37069879505
"608","FDW16","OUT035",1291.26946691042
"609","FDU27","OUT046",912.988664685654
"610","FDR28","OUT010",393.876732647752
"611","FDQ49","OUT010",448.262711868953
"612","FDS37","OUT046",1912.78475213509
"613","FDW26","OUT018",3323.28477725676
"614","FDX12","OUT018",2870.73654564519
"615","NCP06","OUT013",2645.2481381438
"616","FDW45","OUT010",401.674543228812
"617","NCN30","OUT049",1504.43902635131
"618","FDN24","OUT049",960.197335706712
"619","NCL41","OUT027",1418.71725440223
"620","FDR02","OUT019",290.561102662841
"621","FDD09","OUT010",488.185627668578
"622","FDS33","OUT010",194.203797649407
"623","FDU22","OUT045",1968.6749578456
"624","FDI53","OUT013",2235.79933820419
"625","DRH01","OUT049",2740.82535691632
"626","FDX32","OUT013",2332.06345878069
"627","NCP30","OUT018",638.087477791099
"628","FDB60","OUT045",3045.31574901938
"629","FDB14","OUT049",1448.48278499456
"630","NCP02","OUT035",872.325687773853
"631","FDJ10","OUT017",1914.98603248214
"632","FDG34","OUT046",1769.27349219404
"633","NCB18","OUT017",1672.33957410954
"634","FDM16","OUT049",1192.4630177983
"635","FDW25","OUT018",1343.19028213585
"636","FDB35","OUT010",213.464675375487
"637","DRN11","OUT013",2306.74335229262
"638","FDF41","OUT019",570.262048112081
"639","FDH16","OUT045",1282.18322337188
"640","NCQ50","OUT018",3044.09917330473
"641","DRH23","OUT018",872.341749525355
"642","DRJ37","OUT013",2426.1204148015
"643","DRJ24","OUT027",4791.71251123333
"644","FDY16","OUT035",3017.80152977708
"645","FDQ27","OUT045",1872.56599160532
"646","FDZ33","OUT045",2578.45608152925
"647","FDF29","OUT045",2254.01956116115
"648","FDA08","OUT049",3459.8338731976
"649","FDG31","OUT046",1182.14062248159
"650","FDE34","OUT019",515.493324282968
"651","NCR30","OUT027",2149.30627359843
"652","FDV33","OUT035",3962.06085277655
"653","DRZ24","OUT018",1699.89211599611
"654","NCL54","OUT035",2986.49139984308
"655","FDR12","OUT049",2944.15708535465
"656","NCC54","OUT046",3914.6774144694
"657","DRN59","OUT013",769.680538670331
"658","FDX50","OUT019",230.345047880382
"659","FDV31","OUT027",4932.21840772817
"660","NCA29","OUT027",4765.94280012524
"661","FDW60","OUT049",3415.78100367374
"662","FDX08","OUT017",2900.38734263401
"663","DRD49","OUT013",3501.57580228387
"664","FDD33","OUT046",3399.58302314558
"665","FDW35","OUT013",802.29332572218
"666","FDJ36","OUT017",1839.08442696833
"667","FDV51","OUT035",3455.10992260869
