"","testing_bsm.Item_Identifier","testing_bsm.Outlet_Identifier","predict_lm"
"121","FDS60","OUT027",4370.11157122271
"122","NCO06","OUT017",525.318127446002
"123","FDO16","OUT035",1435.39803385633
"124","FDC60","OUT049",1474.90210753043
"125","FDA48","OUT018",3191.18482067351
"126","FDZ36","OUT027",4453.26102170737
"127","FDK27","OUT045",2074.0758831538
"128","FDW23","OUT018",393.729158795365
"129","FDM14","OUT018",1581.80172700575
"130","FDM14","OUT013",1836.91599417521
"131","FDW60","OUT018",2600.80540278705
"132","FDE21","OUT013",1936.30887171802
"133","NCM42","OUT035",1768.25534446673
"134","FDY59","OUT010",-309.297763411831
"135","DRI49","OUT049",1289.07647663201
"136","FDT28","OUT019",476.486833172128
"137","FDQ22","OUT018",427.763710758958
"138","FDR60","OUT049",1295.55102305402
"139","FDC50","OUT019",-404.35472259619
"140","FDV24","OUT013",2420.63916537302
"141","DRF48","OUT010",1101.97142293884
"142","FDQ47","OUT046",615.563748722448
"143","DRN36","OUT049",1631.72191952069
"144","NCY06","OUT035",2043.96473033955
"145","FDE52","OUT035",1522.71213712786
"146","NCB54","OUT045",2064.81098443228
"147","NCF31","OUT035",2423.73230059267
"148","FDJ08","OUT027",4496.58637253967
"149","NCC07","OUT017",1719.97487183289
"150","NCD19","OUT027",2340.3048167917
"151","FDL46","OUT049",1986.87661558059
"152","FDM20","OUT045",3997.34944540499
"153","NCI06","OUT010",917.420302686097
"154","DRM11","OUT035",4159.25338447484
"155","NCH07","OUT018",2147.06963150688
"156","FDS23","OUT013",2051.90737158145
"157","FDO49","OUT018",598.730635370361
"158","FDS35","OUT049",1138.33476019288
"159","DRK39","OUT045",1399.45332506524
"160","DRI39","OUT049",999.759088497487
"161","FDV04","OUT017",2519.05136700241
"162","NCN14","OUT035",2894.72414649087
"163","FDH08","OUT013",3722.84461757495
"164","FDS20","OUT046",2977.40741920569
"165","FDV40","OUT049",1302.32402906022
"166","FDZ48","OUT010",-140.060217720388
"167","FDS24","OUT027",2931.17383293675
"168","FDK44","OUT049",2832.01165019712
"169","FDS48","OUT045",2475.7123504617
"170","FDK26","OUT010",1129.66506219649
"171","FDD23","OUT045",3260.36208113728
"172","NCH54","OUT017",2547.14045863332
"173","NCP14","OUT010",-342.211499101819
"174","FDM60","OUT010",-1213.73882205132
"175","FDV24","OUT017",2503.78696818218
"176","FDH08","OUT018",3402.41133917964
"177","FDS12","OUT027",3476.78815033126
"178","FDR39","OUT027",4343.80729837284
"179","FDP12","OUT027",2148.96092093344
"180","DRF60","OUT027",5209.56399970671
"181","FDC09","OUT035",1775.09007637078
"182","FDF50","OUT018",2884.24168334484
"183","FDG28","OUT035",3888.32325426795
"184","NCE19","OUT017",884.759925473285
"185","NCM53","OUT010",-208.804729015154
"186","NCN18","OUT049",1779.33228532742
"187","FDF32","OUT035",3245.00588947861
"188","FDF11","OUT013",3981.57996599036
"189","DRI59","OUT049",3656.32239290204
"190","NCG54","OUT035",2667.13959339174
"191","FDM44","OUT046",1724.07180533118
"192","FDT57","OUT018",3492.80661327055
"193","FDV24","OUT046",2438.69028995511
"194","FDI50","OUT019",1794.59205112694
"195","FDS09","OUT035",911.714779046754
"196","NCC31","OUT027",3903.53214823938
"197","FDQ07","OUT019",1567.12753718287
"198","FDC22","OUT017",3059.99041708994
"199","FDZ56","OUT046",2784.28962346106
"200","FDZ40","OUT019",-1008.49280994071
"201","FDS46","OUT027",3406.40445934627
"202","DRD24","OUT045",2307.54933385525
"203","FDV45","OUT017",3081.68561832786
"204","FDL26","OUT045",2589.09307114917
"205","FDA56","OUT018",1764.04834457626
"206","FDN27","OUT046",1949.99750578866
"207","FDM20","OUT049",3988.73539175369
"208","FDO16","OUT017",1444.33911828923
"209","FDL03","OUT035",3189.60743327345
"210","FDE58","OUT046",1928.27131231848
"211","FDI02","OUT027",3309.58643800408
"212","NCC55","OUT019",-1314.22911884004
"213","FDR03","OUT018",3021.75673833843
"214","FDB14","OUT017",1622.73648095813
"215","FDR45","OUT013",3843.61776436372
"216","NCN07","OUT017",2118.19384633229
"217","FDM51","OUT019",-202.632779527574
"218","FDT52","OUT027",5331.73929803147
"219","FDL26","OUT046",2538.91471086229
"220","NCZ42","OUT046",3767.25758039347
"221","DRI47","OUT019",483.560584434598
"222","FDW40","OUT013",2197.64658585908
"223","FDN34","OUT046",2719.36501959514
"224","FDS01","OUT035",2978.82400760777
"225","NCG55","OUT045",1866.7893892304
"226","FDC11","OUT035",1585.42068606803
"227","FDX35","OUT018",3316.25149954919
"228","NCB06","OUT046",2535.64857427552
"229","FDR09","OUT019",2190.21438890725
"230","FDC53","OUT017",1668.18391851792
"231","FDY45","OUT013",4043.35381903819
"232","FDA22","OUT010",926.681369881114
"233","FDE02","OUT035",1614.6972170988
"234","FDW21","OUT045",1772.83849325309
"235","FDV34","OUT046",1281.66534525156
"236","FDS59","OUT049",1867.55222270083
"237","NCW17","OUT017",2138.19877092331
"238","NCK54","OUT046",1862.10503074507
"239","FDG17","OUT019",1956.02946460951
"240","FDG35","OUT017",2963.89480375054
"241","FDD08","OUT010",-1213.68020564488
"242","NCO07","OUT017",3433.56708326015
"243","FDJ10","OUT010",276.317504858611
"244","FDW36","OUT017",1801.71931956516
"245","FDW21","OUT010",-230.322227707273
"246","FDY19","OUT017",2002.52318788697
"247","DRE03","OUT013",811.765474336218
"248","NCC55","OUT049",646.327304893998
"249","FDH52","OUT010",-888.923071655713
"250","FDO09","OUT017",4236.89231953453
"251","FDU43","OUT045",3878.74409382375
"252","FDX09","OUT010",860.590750931881
"253","FDH40","OUT019",-601.813878916666
"254","FDW58","OUT017",1828.09485338609
"255","FDC47","OUT017",3659.51036689096
"256","NCR41","OUT035",1581.50945126672
"257","DRG49","OUT035",3901.17722753642
"258","FDC52","OUT027",3939.43570242198
"259","FDY13","OUT046",1329.24231268042
"260","FDY35","OUT013",810.126258865182
"261","FDI35","OUT017",3122.29227134665
"262","NCU18","OUT049",2257.50010698095
"263","FDY33","OUT018",2229.95692610141
"264","FDC15","OUT027",3903.42700827482
"265","FDU01","OUT049",3080.74095429463
"266","NCU42","OUT046",2682.79399919002
"267","NCV29","OUT018",2533.64731825418
"268","NCY30","OUT017",2949.7240534784
"269","FDQ46","OUT049",1853.52812065077
"270","FDG58","OUT027",3929.69622063614
"271","FDK33","OUT017",3480.12995560675
"272","NCD07","OUT045",1883.60423055771
"273","NCX29","OUT027",3736.07789301879
"274","NCT42","OUT013",2321.85472915946
"275","DRN59","OUT035",842.154830487062
"276","FDI44","OUT035",1355.0305774066
"277","FDA45","OUT049",2845.01289427399
"278","FDP31","OUT045",1105.01208851419
"279","FDY01","OUT046",1863.03523090975
"280","FDT09","OUT018",1889.86305346778
"281","DRH03","OUT027",2993.49575481447
"282","FDA36","OUT018",2746.47519170014
"283","NCF31","OUT017",2472.95037459629
"284","FDG14","OUT049",2545.10990313974
"285","FDG28","OUT027",5339.7841566682
"286","FDU14","OUT049",4026.80552150252
"287","FDY47","OUT019",235.231184114685
"288","FDI56","OUT049",1546.69585567078
"289","DRD01","OUT013",923.553003897857
"290","FDM22","OUT046",940.542083219242
"291","FDH33","OUT013",689.750738088238
"292","DRZ24","OUT013",1872.94279419323
"293","NCQ38","OUT046",1720.10449313888
"294","FDO16","OUT027",2852.54078481761
"295","FDU07","OUT027",3901.38811249499
"296","NCB07","OUT013",3003.10310330438
"297","FDU48","OUT045",2239.35781144754
"298","NCM43","OUT045",2674.03692147741
"299","FDR31","OUT010",427.070482138306
"300","DRK49","OUT018",417.763890544267
"301","NCI30","OUT010",1903.79996207037
"302","DRD60","OUT017",2970.41825172185
"303","NCG19","OUT046",3616.56092057743
"304","FDH12","OUT035",1760.44047974099
"305","FDM32","OUT035",1607.24542682247
"306","FDM27","OUT035",2483.56670509917
"307","NCU53","OUT027",4083.79914757766
"308","NCQ18","OUT046",1507.92018445972
"309","FDS10","OUT013",2878.50450491323
"310","FDB33","OUT027",4060.1412787992
"311","FDI12","OUT013",1397.67687927178
"312","NCW42","OUT013",3435.1685253626
"313","NCC06","OUT018",1729.29077591913
"314","FDW02","OUT017",2118.81673150383
"315","NCD43","OUT017",1734.53985102956
"316","FDM57","OUT018",1070.42665927975
"317","FDA58","OUT017",3819.76602310087
"318","FDK56","OUT046",2957.91007735297
"319","FDP52","OUT045",3676.04922396892
"320","FDW20","OUT018",1767.76098237311
"321","FDS52","OUT049",1697.44653361077
"322","NCT29","OUT018",1605.61049002009
"323","NCL54","OUT013",2721.03778167324
"324","FDC05","OUT045",3144.04619493276
"325","FDF34","OUT035",3222.49486246456
"326","FDP03","OUT027",3485.8164364392
"327","FDD32","OUT010",-514.6350195384
"328","FDZ10","OUT045",2106.20214484046
"329","FDZ40","OUT035",943.75263052051
"330","FDD51","OUT018",408.771823730088
"331","NCY30","OUT019",919.84584539961
"332","FDP58","OUT017",3466.18926947746
"333","FDV49","OUT017",4309.56095726832
"334","FDY24","OUT019",-1089.24882384032
"335","NCO55","OUT017",1760.09457183953
"336","FDR13","OUT017",2011.39440202218
"337","FDS51","OUT017",1108.737616692
"338","FDP26","OUT045",1682.05003469981
"339","NCB54","OUT027",3527.23591002944
"340","FDF32","OUT017",3250.62127957996
"341","FDN31","OUT018",2747.10566492093
"342","DRM48","OUT017",661.561871524821
"343","FDN20","OUT049",2816.27676694529
"344","DRL01","OUT046",3686.41605801571
"345","FDV56","OUT049",1864.34447458228
"346","DRH13","OUT027",3227.55672979743
"347","FDA03","OUT017",2420.30070581583
"348","FDF47","OUT027",5164.70330138061
"349","FDX32","OUT046",2377.01793698557
"350","FDX57","OUT049",1649.72314145621
"351","NCA30","OUT045",2997.11217467889
"352","FDO49","OUT013",886.564981855069
"353","FDL04","OUT019",-299.489309614057
"354","DRM48","OUT035",643.690170690844
"355","FDR16","OUT013",3303.8829950219
"356","NCC19","OUT018",2676.22243809131
"357","NCE42","OUT045",3778.35323428895
"358","FDY24","OUT017",984.07829861918
"359","FDH19","OUT049",2882.30157975702
"360","FDJ46","OUT013",2782.75051771152
"361","FDN45","OUT010",1606.66686040503
"362","FDY08","OUT035",2253.34821825263
"363","FDZ37","OUT035",1550.83372158759
"364","NCT30","OUT045",767.570144227555
"365","DRY23","OUT018",378.939771594763
"366","NCZ30","OUT018",1622.19546393952
"367","FDC44","OUT018",1498.66921240013
"368","FDB45","OUT035",1808.05912408819
"369","FDY04","OUT013",2584.00545919739
"370","FDM27","OUT046",2558.21198818624
"371","FDZ43","OUT017",3944.18523709534
"372","FDT39","OUT019",570.610260732635
"373","NCC06","OUT019",96.6151351142957
"374","FDL15","OUT027",3948.83462648702
"375","FDL57","OUT017",4129.3788350648
"376","FDU08","OUT046",1684.77520628386
"377","FDK40","OUT017",4258.07159953432
"378","FDQ12","OUT010",1787.51322728857
"379","FDS48","OUT017",2554.64515783098
"380","FDP09","OUT045",3446.20083676699
"381","FDW21","OUT049",1717.89395946567
"382","FDY25","OUT035",3009.94067967709
"383","DRE13","OUT017",1489.96104247887
"384","FDV43","OUT019",-1161.80967124839
"385","FDD22","OUT045",1840.15197110896
"386","FDM46","OUT019",-509.711628176245
"387","NCO30","OUT010",987.662445600794
"388","FDM25","OUT046",2830.08855676811
"389","NCN41","OUT049",2010.21562731074
"390","FDU24","OUT045",1539.56018172153
"391","FDZ50","OUT046",2926.28453688583
"392","FDP45","OUT013",4006.48851690099
"393","NCM54","OUT045",2050.25225958887
"394","FDW10","OUT019",884.030391160116
"395","FDP20","OUT017",2189.73410059137
"396","FDK32","OUT046",2483.86483188088
"397","FDN52","OUT049",1412.18780117145
"398","FDM58","OUT045",1848.03024611825
"399","FDZ46","OUT027",3273.75216772072
"400","NCA18","OUT018",1530.35253671119
"401","FDD35","OUT046",2174.58269780136
"402","NCK31","OUT035",870.505546241711
"403","FDI40","OUT027",3032.57992519673
"404","FDT50","OUT019",-388.830179035473
"405","NCT06","OUT046",2595.32101802388
"406","FDT31","OUT035",3108.78798529229
"407","FDT45","OUT049",967.715535829434
"408","FDT13","OUT045",3151.3044736184
"409","FDO50","OUT045",1577.79554805655
"410","NCU18","OUT010",291.953748740337
"411","NCR54","OUT049",3067.61593022742
"412","NCO18","OUT018",2502.68819499184
"413","FDU09","OUT045",1037.92402127115
"414","FDT13","OUT018",2781.49647851326
"415","FDE09","OUT046",1898.95600940814
"416","NCK53","OUT019",-275.804024550481
"417","FDG45","OUT049",3474.68508926145
"418","DRH15","OUT035",774.862349599611
"419","FDO21","OUT019",1715.68350964503
"420","FDD14","OUT027",4390.85733518562
"421","FDC09","OUT046",1748.12786087777
"422","FDH45","OUT027",2222.08999521328
"423","FDV32","OUT046",1118.69595413819
"424","FDG12","OUT035",2034.21748313193
"425","FDS32","OUT013",2300.67734300557
"426","NCL55","OUT018",3641.842347723
"427","DRE01","OUT035",3813.04401154516
"428","DRE15","OUT049",1346.01985919748
"429","NCL42","OUT045",3899.66017269101
"430","FDP31","OUT013",1024.50229621565
"431","FDN33","OUT018",1201.41268667713
"432","FDZ59","OUT046",2650.33051594046
"433","FDE45","OUT010",1001.28656603354
"434","FDJ07","OUT013",1943.73839449571
"435","FDQ45","OUT018",2693.62514241375
"436","FDM33","OUT027",4945.66279545551
"437","FDO15","OUT010",-585.9249995649
"438","FDM46","OUT013",1444.72695231834
"439","FDR03","OUT045",3396.21532808422
"440","FDY49","OUT018",2457.96426735443
"441","FDQ60","OUT045",1957.53393280946
"442","FDW10","OUT049",2876.5407452698
"443","FDO51","OUT049",841.339251720362
"444","FDJ40","OUT018",1447.95260658073
"445","FDS20","OUT018",2652.76356315126
"446","FDU45","OUT013",1841.49030802612
"447","FDV02","OUT035",2743.04641767916
"448","FDN09","OUT046",3888.06049508458
"449","NCM55","OUT027",4403.16961090246
"450","FDN23","OUT018",2048.08081173379
"451","FDY31","OUT010",444.982666665447
"452","FDW03","OUT010",-125.253435373631
"453","FDD14","OUT046",2924.46315705512
"454","FDV23","OUT017",2108.23785099582
"455","DRI03","OUT045",2867.23223072284
"456","FDN13","OUT035",1635.95478634376
"457","FDF45","OUT027",2543.67492444463
"458","FDU46","OUT035",1524.18752078149
"459","FDB57","OUT049",3650.64103457767
"460","FDV12","OUT049",1696.46807087525
"461","FDQ58","OUT013",2457.02853652515
"462","NCA18","OUT017",1887.63313721186
"463","FDH52","OUT049",1045.80842965339
"464","FDM24","OUT018",2126.49945921828
"465","NCP43","OUT027",4342.37697673458
"466","NCO18","OUT019",872.78354454831
"467","FDM32","OUT017",1636.37748181673
"468","NCL07","OUT017",725.276636108277
"469","FDK03","OUT013",3982.72921242122
"470","FDP59","OUT017",1778.40311634901
"471","FDQ24","OUT049",4047.7376233837
"472","FDQ16","OUT018",1465.88891037106
"473","FDU44","OUT013",2598.9340165112
"474","FDH28","OUT010",-1354.34547614399
"475","FDV28","OUT019",-1438.59771994343
"476","FDM22","OUT045",1017.33342117528
"477","FDR56","OUT046",3147.57515539481
"478","FDV39","OUT049",3232.58602938352
"479","FDU37","OUT019",-586.29546082404
"480","FDQ11","OUT010",2207.16033830919
"481","FDX02","OUT045",3624.0297705888
"482","NCS42","OUT018",1139.52999353696
"483","FDY57","OUT027",2986.4986216433
"484","FDB21","OUT049",3863.36813786139
"485","FDE28","OUT017",3648.29350238834
"486","FDQ55","OUT017",1948.32757144391
"487","FDA48","OUT049",3577.74586921405
"488","FDZ19","OUT045",2878.99562111526
"489","NCC43","OUT045",3946.87767409745
"490","NCV18","OUT046",1260.58252205536
"491","NCA42","OUT018",2201.29567799823
"492","FDY45","OUT046",4112.65389376777
"493","NCC30","OUT045",2885.47584133442
"494","FDM57","OUT013",1392.61467663859
"495","FDL09","OUT010",658.940811702201
"496","FDB09","OUT027",3523.20189387969
"497","FDT44","OUT035",1972.16553099498
"498","NCT06","OUT027",4041.05918201982
"499","FDX26","OUT049",2950.37930216348
"500","FDK32","OUT013",2487.55045099259
"501","DRA12","OUT046",2309.31734099447
"502","FDO46","OUT010",1121.43708790231
"503","FDE52","OUT013",1423.23510140644
"504","NCH42","OUT045",3640.91213228669
"505","FDV08","OUT035",829.871749600061
"506","FDB47","OUT018",3058.6369496253
"507","FDC28","OUT010",-172.531013639826
"508","FDD22","OUT046",1844.43166330443
"509","FDS07","OUT027",3345.26877943989
"510","DRI13","OUT045",3538.77504525675
"511","FDG32","OUT018",3200.8276732809
"512","FDU14","OUT017",4055.21973750802
"513","FDD28","OUT019",-948.929074897745
"514","NCP41","OUT017",1855.26481661115
"515","FDS08","OUT049",2887.90945058412
"516","FDX47","OUT045",2616.11834684766
"517","FDC53","OUT019",-247.066867918175
"518","FDQ19","OUT035",3935.64025403367
"519","FDL14","OUT045",2603.77330845542
"520","FDM33","OUT019",1576.01849882921
"521","FDA51","OUT045",1833.9761602125
"522","FDZ27","OUT018",556.327860508033
"523","FDT04","OUT046",670.39859478824
"524","DRC13","OUT049",2070.11161228398
"525","FDR16","OUT027",4822.31573828676
"526","FDQ03","OUT027",5212.26434021002
"527","FDE38","OUT035",2795.52031284846
"528","DRH23","OUT027",2368.55208106957
"529","FDT11","OUT019",1146.33532978758
"530","FDD09","OUT035",2975.14118148426
"531","FDR40","OUT045",1353.43780198362
"532","FDX07","OUT017",3033.10082139991
"533","FDR07","OUT035",1650.22457533059
"534","FDA51","OUT017",1849.10821709731
"535","FDT59","OUT019",1823.7674699386
"536","FDF20","OUT017",3205.95881538752
"537","FDR13","OUT045",1983.47932050597
"538","FDY26","OUT049",3408.58647057556
"539","FDW04","OUT017",2145.26415536295
"540","FDK52","OUT017",3602.66955246538
"541","FDN60","OUT049",2573.83527067011
"542","FDM09","OUT019",796.087149736584
"543","FDP46","OUT049",1496.53134563127
"544","FDB50","OUT019",-666.432888335706
"545","NCQ29","OUT049",4087.80873831285
"546","FDP16","OUT027",5344.62739399382
"547","FDX33","OUT018",2256.67203807022
"548","FDP07","OUT010",1263.65182047707
"549","FDN22","OUT046",3954.15264572057
"550","FDF39","OUT049",4179.24797746148
"551","FDS21","OUT017",1101.61470984749
"552","NCM42","OUT013",1679.66173344613
"553","FDK50","OUT019",797.122574603566
"554","DRF13","OUT027",3833.23143564546
"555","FDH35","OUT018",2493.11721962095
"556","FDP60","OUT018",1355.57939617167
"557","DRJ49","OUT027",3583.29273288251
"558","NCT42","OUT019",435.118235732583
"559","FDE38","OUT049",2803.9428715641
"560","FDI04","OUT049",3177.86887593084
"561","NCH54","OUT045",2491.34882700162
"562","FDT56","OUT049",1041.55491138014
"563","DRD15","OUT018",3385.33142892666
"564","FDV58","OUT013",3088.94248684581
"565","FDP21","OUT049",3073.16999711595
"566","FDH05","OUT013",3632.09643900915
"567","FDR10","OUT027",4103.58180675411
"568","NCP06","OUT045",2420.22420782822
"569","FDF33","OUT049",2137.83923583487
"570","DRK37","OUT013",2972.64570093044
"571","DRH49","OUT045",1405.17257733472
"572","FDT58","OUT013",2661.98273296291
"573","FDD41","OUT018",1352.21809385839
"574","FDP40","OUT018",1482.92417744118
"575","FDM51","OUT027",3156.21361231987
"576","FDO45","OUT010",-485.965741850592
"577","FDW33","OUT010",-207.185093736039
"578","FDY24","OUT045",973.587964531505
"579","FDB10","OUT010",1867.43380265481
"580","FDM40","OUT035",2222.10159900462
"581","NCI06","OUT017",2902.87136934381
"582","FDW12","OUT019",447.032583021117
"583","FDX48","OUT027",3994.71524442322
"584","NCW05","OUT027",3114.96396515652
"585","FDX27","OUT017",1550.46962391193
"586","DRM37","OUT045",3195.26008832283
"587","FDA38","OUT045",3889.19315247666
"588","FDR36","OUT046",697.525382525219
"589","FDZ45","OUT046",3189.7708725129
"590","FDG05","OUT017",2569.40238126459
"591","FDK28","OUT013",4050.37417429209
"592","FDV47","OUT045",1486.45162816902
"593","FDN21","OUT045",2614.38047074836
"594","FDP20","OUT027",3568.61689536876
"595","FDI35","OUT045",3122.39675217007
"596","DRY23","OUT013",685.692779523419
"597","FDA56","OUT017",2135.37504766395
"598","FDB09","OUT013",2017.34133905359
"599","NCO26","OUT027",3284.82457912567
"600","FDQ49","OUT018",2265.29557945085
"601","FDI52","OUT027",3387.17470900702
"602","FDZ44","OUT027",3422.28083427912
"603","FDZ09","OUT018",2315.70579747913
"604","FDY03","OUT049",1882.72379169401
"605","NCG42","OUT017",2115.44711536823
"606","DRI13","OUT027",4945.4086121705
"607","FDQ32","OUT013",2062.70685840396
"608","FDW16","OUT035",1515.8330209883
"609","FDU27","OUT046",751.815594770424
"610","FDR28","OUT010",674.556557759193
"611","FDQ49","OUT010",690.846220402532
"612","FDS37","OUT046",1974.52620746225
"613","FDW26","OUT018",3165.30963879805
"614","FDX12","OUT018",3578.46718279013
"615","NCP06","OUT013",2349.12638321112
"616","FDW45","OUT010",464.929976630062
"617","NCN30","OUT049",1555.26284979602
"618","FDN24","OUT049",943.1087664985
"619","NCL41","OUT027",2033.92021211195
"620","FDR02","OUT019",-101.482531933856
"621","FDD09","OUT010",1026.69813020208
"622","FDS33","OUT010",-501.268590605528
"623","FDU22","OUT045",2003.76400976362
"624","FDI53","OUT013",2506.84878598567
"625","DRH01","OUT049",2817.38754279479
"626","FDX32","OUT013",2295.21494469021
"627","NCP30","OUT018",343.713442845456
"628","FDB60","OUT045",3212.90067156984
"629","FDB14","OUT049",1608.51056801852
"630","NCP02","OUT035",958.564473011547
"631","FDJ10","OUT017",2264.11409023701
"632","FDG34","OUT046",1805.96123116637
"633","NCB18","OUT017",1424.12696821951
"634","FDM16","OUT049",1270.98138674301
"635","FDW25","OUT018",1160.58779410551
"636","FDB35","OUT010",-288.072403843952
"637","DRN11","OUT013",2232.40494588776
"638","FDF41","OUT019",1901.77298844096
"639","FDH16","OUT045",1501.51987086465
"640","NCQ50","OUT018",3028.52138843935
"641","DRH23","OUT018",603.614387931721
"642","DRJ37","OUT013",2407.59318818973
"643","DRJ24","OUT027",4363.73853271255
"644","FDY16","OUT035",2917.86925033536
"645","FDQ27","OUT045",1808.76251800526
"646","FDZ33","OUT045",2407.75949222554
"647","FDF29","OUT045",2158.22236737697
"648","FDA08","OUT049",2707.9245110365
"649","FDG31","OUT046",1102.78176979136
"650","FDE34","OUT019",1036.80704092428
"651","NCR30","OUT027",2611.28482620446
"652","FDV33","OUT035",4166.68525408205
"653","DRZ24","OUT018",1626.92642506448
"654","NCL54","OUT035",2727.19859123264
"655","FDR12","OUT049",2862.63781386203
"656","NCC54","OUT046",3792.57623695523
"657","DRN59","OUT013",787.052230882351
"658","FDX50","OUT019",-152.69016187258
"659","FDV31","OUT027",4322.88995861667
"660","NCA29","OUT027",4181.58808514373
"661","FDW60","OUT049",2934.32887727989
"662","FDX08","OUT017",3053.78056361959
"663","DRD49","OUT013",3647.93368854265
